from,to,n
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull->EES:NAnot_present,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked->EES:NAnot_present,1
START,START->ES:fprefer_not_to_answer,4
START->ES:fprefer_not_to_answer,START->ES:fprefer_not_to_answer->EF:Jnone,4
START->ES:fprefer_not_to_answer->EF:Jnone,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple,2
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull->EES:NAnot_present,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,START->ES:fprefer_not_to_answer->EF:Jnone->M:Qsimple->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull->EES:NAnot_present,1
START->ES:fprefer_not_to_answer->EF:Jnone,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex,2
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Nbins_10000->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull->EES:NAnot_present,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,1
START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull,START->ES:fprefer_not_to_answer->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Vrace_all->EOS:bfull->EES:NAnot_present,1
START,START->ES:hnone_checked,3
START->ES:hnone_checked,START->ES:hnone_checked->EF:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked,3
START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked,START->ES:hnone_checked->EF:hnone_checked->M:hnone_checked->PI:hnone_checked->EFD:hnone_checked->EFG:hnone_checked->EOS:hnone_checked->EES:NAnot_present,3
