from,to,n
START,START->ES:Bblack_or_african_american_alone,4
START->ES:Bblack_or_african_american_alone,START->ES:Bblack_or_african_american_alone->EF:Jnone,4
START->ES:Bblack_or_african_american_alone->EF:Jnone,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple,4
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand,4
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision,4
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all,4
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Wlocality_largest_only,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Wlocality_largest_only,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Wlocality_largest_only->EES:ckeep_in_eval,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Xlocality_whitest_only,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Xlocality_whitest_only,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Xlocality_whitest_only->EES:ckeep_in_eval,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Ylocality_city,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Ylocality_city,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:Ylocality_city->EES:ckeep_in_eval,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:bfull,1
START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:bfull,START->ES:Bblack_or_african_american_alone->EF:Jnone->M:Qsimple->PI:edont_understand->EFD:Tprecision->EFG:Vrace_all->EOS:bfull->EES:ckeep_in_eval,1
START,START->ES:Itwo_or_more_races,4
START->ES:Itwo_or_more_races,START->ES:Itwo_or_more_races->EF:Mrace_sex,4
START->ES:Itwo_or_more_races->EF:Mrace_sex,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple,4
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone,4
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity,4
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all,4
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:Zexclude_military,2
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:Zexclude_military,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:Zexclude_military->EES:ckeep_in_eval,1
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:Zexclude_military,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:Zexclude_military->EES:dexclude_in_eval,1
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull,2
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull->EES:ckeep_in_eval,1
START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull,START->ES:Itwo_or_more_races->EF:Mrace_sex->M:Qsimple->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull->EES:dexclude_in_eval,1
START,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone,2
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone,2
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Jnone->EFD:Ssensitivity->EFG:Vrace_all->EOS:bfull,1
